"","DIVISION","DISTRICT","num.x","meanAs.x","meanAs50ppb.x","std50ppb.x","se50ppb.x","lb50ppb.x","ub50ppb.x","meanAs10ppb.x","std10ppb.x","se10ppb.x","lb10ppb.x","ub10ppb.x","num.y","meanAs.y","meanAs50ppb.y","std50ppb.y","se50ppb.y","lb50ppb.y","ub50ppb.y","meanAs10ppb.y","std10ppb.y","se10ppb.y","lb10ppb.y","ub10ppb.y"
"1","Barisal","Barguna",33,1.76060606060606,0,0,0,0,0,0.0303030303030303,0.174077655955698,0.0593939393939394,-0.0290909090909091,0.0896969696969697,248,5.94758064516129,0,0,0,0,0,0.00403225806451613,0.0635000635000951,0.00790322580645159,-0.00387096774193547,0.0119354838709677
"2","Barisal","Barisal",92,92.4978260869565,0.304347826086957,0.462651945572992,0.0945402073566478,0.209807618730309,0.398888033443604,0.423913043478261,0.496884704874167,0.101535470628944,0.322377572849317,0.525448514107205,188,0.718085106382979,0.00531914893617021,0.072932495748947,0.0104255319148936,-0.00510638297872336,0.0157446808510638,0.0106382978723404,0.102865973863593,0.014704453514975,-0.00406615564263454,0.0253427513873154
"3","Barisal","Bhola",48,10.2770833333333,0.0416666666666667,0.201940936523459,0.0571294204904898,-0.0154627538238232,0.0987960871571565,0.0416666666666667,0.201940936523459,0.0571294204904898,-0.0154627538238232,0.0987960871571565,231,8.46320346320346,0,0,0,0,0,0.0216450216450216,0.145837534558075,0.0188069943980429,0.00283802724697872,0.0404520160430646
"4","Barisal","Jhalakati",33,23.6121212121212,0.0606060606060606,0.24230584229878,0.0826728647814155,-0.0220668041753549,0.143278925387476,0.242424242424242,0.435194139889245,0.148484848484848,0.0939393939393939,0.390909090909091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Barisal","Patuakhali",42,3.28809523809524,0,0,0,0,0,0.0714285714285714,0.260661180215007,0.0788329508920062,-0.00740437946343479,0.150261522320578,244,7.06967213114754,0,0,0,0,0,0.0122950819672131,0.110425938424575,0.0138558207671537,-0.00156073879994062,0.0261509027343668
"6","Barisal","Pirojpur",47,30.063829787234,0.170212765957447,0.379882644130721,0.108606694166398,0.061606071791049,0.278819460123845,0.340425531914894,0.478975162498507,0.136936787690873,0.203488744224021,0.477362319605767,197,2.43654822335025,0,0,0,0,0,0.0456852791878173,0.209333642577693,0.0292322328138928,0.0164530463739244,0.0749175120017101
"7","Chittagong","Brahamanbaria",53,101.588679245283,0.39622641509434,0.493793114632085,0.132942293371692,0.263284121722648,0.529168708466032,0.490566037735849,0.50469493868284,0.135877355543067,0.354688682192782,0.626443393278916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Chittagong","Chandpur",59,365.632203389831,0.898305084745763,0.304841126187198,0.0777863911113392,0.820518693634424,0.976091475857102,0.915254237288136,0.280893622840437,0.0716757003237472,0.843578536964388,0.986929937611883,187,5.29411764705882,0,0,0,0,0,0.0106951871657754,0.103139159195273,0.0147828733015636,-0.00408768613578816,0.025478060467339
"9","Chittagong","Chittagong",44,31.9340909090909,0.159090909090909,0.369989429024468,0.109324890020232,0.0497660190706772,0.268415799111141,0.318181818181818,0.471155298187944,0.139217494112353,0.178964324069466,0.457399312294171,183,34.6448087431694,0.103825136612022,0.305870424375316,0.0443167610754106,0.0595083755366112,0.148141897687432,0.262295081967213,0.441089037295004,0.063908230155655,0.198386851811558,0.326203312122868
"10","Chittagong","Comilla",110,141.761818181818,0.654545454545455,0.477692535492641,0.0892705445038047,0.56527491004165,0.743815999049259,0.709090909090909,0.456260318127983,0.0852653202812955,0.623825588809614,0.794356229372205,184,127.472826086957,0.434782608695652,0.497081049698249,0.0718247902883387,0.362957818407313,0.506607398983991,0.5,0.501364259015917,0.0724436845535481,0.427556315446452,0.572443684553548
